"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"SWE","Sweden","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2017","2017","USD","US Dollar","6","Millions",,,540545.2364,,
"SWE","Sweden","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2018","2018","USD","US Dollar","6","Millions",,,556072.684,,
"CHE","Switzerland","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2010","2010","USD","US Dollar","6","Millions",,,583783.3964,,
"CHE","Switzerland","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2011","2011","USD","US Dollar","6","Millions",,,699579.5022,,
"CHE","Switzerland","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2012","2012","USD","US Dollar","6","Millions",,,668043.4761,,
"CHE","Switzerland","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2013","2013","USD","US Dollar","6","Millions",,,688504.2155,,
"CHE","Switzerland","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2014","2014","USD","US Dollar","6","Millions",,,709182.1834,,
"CHE","Switzerland","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2015","2015","USD","US Dollar","6","Millions",,,679832.3918,,
"CHE","Switzerland","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2016","2016","USD","US Dollar","6","Millions",,,671308.8727,,
"CHE","Switzerland","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2017","2017","USD","US Dollar","6","Millions",,,679950.9153,"P","Provisional value"
"CHE","Switzerland","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2018","2018","USD","US Dollar","6","Millions",,,705140.3542,"P","Provisional value"
"GBR","United Kingdom","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2010","2010","USD","US Dollar","6","Millions",,,2475244.3214,,
"GBR","United Kingdom","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2011","2011","USD","US Dollar","6","Millions",,,2659310.0546,,
"GBR","United Kingdom","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2012","2012","USD","US Dollar","6","Millions",,,2704887.6784,,
"GBR","United Kingdom","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2013","2013","USD","US Dollar","6","Millions",,,2786022.8727,,
"GBR","United Kingdom","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2014","2014","USD","US Dollar","6","Millions",,,3063803.2402,,
"GBR","United Kingdom","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2015","2015","USD","US Dollar","6","Millions",,,2928591.002,,
"GBR","United Kingdom","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2016","2016","USD","US Dollar","6","Millions",,,2694283.2096,,
"GBR","United Kingdom","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2017","2017","USD","US Dollar","6","Millions",,,2666229.18,,
"GBR","United Kingdom","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2018","2018","USD","US Dollar","6","Millions",,,2855296.7315,,
"EST","Estonia","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2010","2010","USD","US Dollar","6","Millions",,,19696.7681,,
"EST","Estonia","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2011","2011","USD","US Dollar","6","Millions",,,23394.8435,,
"EST","Estonia","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2012","2012","USD","US Dollar","6","Millions",,,23192.7092,,
"EST","Estonia","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2013","2013","USD","US Dollar","6","Millions",,,25271.4073,,
"EST","Estonia","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2014","2014","USD","US Dollar","6","Millions",,,26773.473,,
"EST","Estonia","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2015","2015","USD","US Dollar","6","Millions",,,23048.8642,,
"EST","Estonia","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2016","2016","USD","US Dollar","6","Millions",,,23996.4515,,
"EST","Estonia","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2017","2017","USD","US Dollar","6","Millions",,,26792.7578,,
"EST","Estonia","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2018","2018","USD","US Dollar","6","Millions",,,30732.1445,,
"CHN","China (People's Republic of)","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2010","2010","USD","US Dollar","6","Millions",,,6087192.3738,,
"CHN","China (People's Republic of)","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2011","2011","USD","US Dollar","6","Millions",,,7551545.6232,,
"CHN","China (People's Republic of)","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2012","2012","USD","US Dollar","6","Millions",,,8532186.3529,,
"CHN","China (People's Republic of)","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2013","2013","USD","US Dollar","6","Millions",,,9570470.1003,,
"CHN","China (People's Republic of)","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2014","2014","USD","US Dollar","6","Millions",,,10438471.2221,,
"CHN","China (People's Republic of)","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2015","2015","USD","US Dollar","6","Millions",,,11015562.3883,,
"CHN","China (People's Republic of)","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2016","2016","USD","US Dollar","6","Millions",,,11137982.8332,,
"CHN","China (People's Republic of)","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2017","2017","USD","US Dollar","6","Millions",,,12143572.1448,,
"CHN","China (People's Republic of)","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2018","2018","USD","US Dollar","6","Millions",,,13608151.8647,,
"RUS","Russia","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2010","2010","USD","US Dollar","6","Millions",,,1642494.3303,"E","Estimated value"
"RUS","Russia","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2011","2011","USD","US Dollar","6","Millions",,,2051658.8433,,
"RUS","Russia","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2012","2012","USD","US Dollar","6","Millions",,,2210254.7301,,
"RUS","Russia","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2013","2013","USD","US Dollar","6","Millions",,,2297124.8902,,
"RUS","Russia","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2014","2014","USD","US Dollar","6","Millions",,,2063662.2811,,
"RUS","Russia","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2015","2015","USD","US Dollar","6","Millions",,,1365865.2451,,
"RUS","Russia","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2016","2016","USD","US Dollar","6","Millions",,,1283162.3481,,
